城市,特征,重要性,更新时间
临汾,AQI_roll_mean_3,0.4895,2026-04-15 13:41:29
临汾,小时,0.4493,2026-04-15 13:41:29
临汾,AQI_lag_2,0.4358,2026-04-15 13:41:29
临汾,AQI_lag_1,0.3988,2026-04-15 13:41:29
临汾,降水量,0.0174,2026-04-15 13:41:29
临沂,湿度,0.683,2026-04-15 13:41:29
临沂,温度,0.6689,2026-04-15 13:41:29
临沂,风速,0.4981,2026-04-15 13:41:29
临沂,AQI_roll_mean_3,0.4517,2026-04-15 13:41:29
临沂,AQI_lag_1,0.4324,2026-04-15 13:41:29
临沂,小时,0.3751,2026-04-15 13:41:29
临沂,AQI_lag_2,0.3716,2026-04-15 13:41:29
临沂,降水量,0.0716,2026-04-15 13:41:29
临沧,湿度,0.6491,2026-04-15 13:41:29
临沧,温度,0.6193,2026-04-15 13:41:29
临沧,风速,0.5592,2026-04-15 13:41:29
临沧,AQI_lag_2,0.4526,2026-04-15 13:41:29
临沧,AQI_roll_mean_3,0.4041,2026-04-15 13:41:29
临沧,小时,0.322,2026-04-15 13:41:29
临沧,AQI_lag_1,0.2969,2026-04-15 13:41:29
临沧,降水量,0.1174,2026-04-15 13:41:29
丹东,湿度,0.6436,2026-04-15 13:41:29
丹东,温度,0.6376,2026-04-15 13:41:29
丹东,风速,0.6036,2026-04-15 13:41:29
丹东,AQI_roll_mean_3,0.4503,2026-04-15 13:41:29
丹东,小时,0.4238,2026-04-15 13:41:29
丹东,AQI_lag_2,0.4015,2026-04-15 13:41:29
丹东,AQI_lag_1,0.3491,2026-04-15 13:41:29
丹东,降水量,0.289,2026-04-15 13:41:29
丽水,湿度,0.6037,2026-04-15 13:41:29
丽水,温度,0.583,2026-04-15 13:41:29
丽水,风速,0.5244,2026-04-15 13:41:29
丽水,小时,0.3711,2026-04-15 13:41:29
丽水,AQI_roll_mean_3,0.3492,2026-04-15 13:41:29
丽水,AQI_lag_1,0.2899,2026-04-15 13:41:29
丽水,AQI_lag_2,0.2636,2026-04-15 13:41:29
丽水,降水量,0.065,2026-04-15 13:41:29
丽江,湿度,0.7009,2026-04-15 13:41:29
丽江,温度,0.6441,2026-04-15 13:41:29
丽江,风速,0.4692,2026-04-15 13:41:29
丽江,AQI_roll_mean_3,0.4333,2026-04-15 13:41:29
丽江,小时,0.4092,2026-04-15 13:41:29
丽江,AQI_lag_1,0.3963,2026-04-15 13:41:29
丽江,AQI_lag_2,0.3311,2026-04-15 13:41:29
丽江,工作日,0.05,2026-04-15 13:41:29
乌兰察布,湿度,0.7288,2026-04-15 13:41:29
乌兰察布,温度,0.7255,2026-04-15 13:41:29
乌兰察布,风速,0.5754,2026-04-15 13:41:29
乌兰察布,AQI_roll_mean_3,0.5618,2026-04-15 13:41:29
乌兰察布,AQI_lag_1,0.5271,2026-04-15 13:41:29
乌兰察布,小时,0.4668,2026-04-15 13:41:29
乌兰察布,AQI_lag_2,0.4282,2026-04-15 13:41:29
乌兰察布,降水量,0.4083,2026-04-15 13:41:29
乌海,湿度,0.7039,2026-04-15 13:41:29
乌海,温度,0.6753,2026-04-15 13:41:29
乌海,风速,0.4997,2026-04-15 13:41:29
乌海,AQI_roll_mean_3,0.4877,2026-04-15 13:41:29
乌海,AQI_lag_2,0.4271,2026-04-15 13:41:29
乌海,小时,0.4197,2026-04-15 13:41:29
乌海,AQI_lag_1,0.4092,2026-04-15 13:41:29
乌海,降水量,0.2527,2026-04-15 13:41:29
乌鲁木齐,湿度,0.6881,2026-04-15 13:41:29
乌鲁木齐,温度,0.6604,2026-04-15 13:41:29
乌鲁木齐,风速,0.5608,2026-04-15 13:41:29
乌鲁木齐,AQI_lag_1,0.5049,2026-04-15 13:41:29
乌鲁木齐,AQI_roll_mean_3,0.4836,2026-04-15 13:41:29
乌鲁木齐,小时,0.4538,2026-04-15 13:41:29
乌鲁木齐,降水量,0.384,2026-04-15 13:41:29
乌鲁木齐,AQI_lag_2,0.3491,2026-04-15 13:41:29
乐山,湿度,0.6636,2026-04-15 13:41:29
乐山,温度,0.632,2026-04-15 13:41:29
乐山,风速,0.5699,2026-04-15 13:41:29
乐山,AQI_roll_mean_3,0.435,2026-04-15 13:41:29
乐山,AQI_lag_1,0.3487,2026-04-15 13:41:29
乐山,小时,0.3439,2026-04-15 13:41:29
乐山,AQI_lag_2,0.324,2026-04-15 13:41:29
乐山,工作日,0.0268,2026-04-15 13:41:29
九江,湿度,0.7061,2026-04-15 13:41:29
九江,温度,0.6816,2026-04-15 13:41:29
九江,风速,0.5241,2026-04-15 13:41:29
九江,AQI_roll_mean_3,0.5131,2026-04-15 13:41:29
九江,AQI_lag_2,0.4468,2026-04-15 13:41:29
九江,AQI_lag_1,0.4397,2026-04-15 13:41:29
九江,小时,0.3968,2026-04-15 13:41:29
九江,降水量,0.0559,2026-04-15 13:41:29
云浮,湿度,0.6921,2026-04-15 13:41:29
云浮,温度,0.6662,2026-04-15 13:41:29
云浮,风速,0.5779,2026-04-15 13:41:29
云浮,AQI_roll_mean_3,0.5259,2026-04-15 13:41:29
云浮,AQI_lag_1,0.4459,2026-04-15 13:41:29
云浮,小时,0.399,2026-04-15 13:41:29
云浮,AQI_lag_2,0.3948,2026-04-15 13:41:29
云浮,降水量,0.0871,2026-04-15 13:41:29
亳州,湿度,0.7213,2026-04-15 13:41:29
亳州,温度,0.706,2026-04-15 13:41:29
亳州,风速,0.5844,2026-04-15 13:41:29
亳州,AQI_roll_mean_3,0.5277,2026-04-15 13:41:29
亳州,AQI_lag_1,0.5129,2026-04-15 13:41:29
亳州,小时,0.4872,2026-04-15 13:41:29
亳州,AQI_lag_2,0.4074,2026-04-15 13:41:29
亳州,工作日,0.0661,2026-04-15 13:41:29
伊春,湿度,0.6784,2026-04-15 13:41:29
伊春,温度,0.6706,2026-04-15 13:41:29
