城市,特征,重要性,更新时间
吕梁,AQI_lag_1,0.3773,2026-04-15 13:41:29
吕梁,AQI_lag_2,0.3771,2026-04-15 13:41:29
吕梁,降水量,0.1377,2026-04-15 13:41:29
吴忠,湿度,0.7064,2026-04-15 13:41:29
吴忠,温度,0.688,2026-04-15 13:41:29
吴忠,风速,0.5239,2026-04-15 13:41:29
吴忠,AQI_roll_mean_3,0.5167,2026-04-15 13:41:29
吴忠,AQI_lag_1,0.467,2026-04-15 13:41:29
吴忠,AQI_lag_2,0.4281,2026-04-15 13:41:29
吴忠,小时,0.3969,2026-04-15 13:41:29
吴忠,降水量,0.1941,2026-04-15 13:41:29
周口,温度,0.6764,2026-04-15 13:41:29
周口,湿度,0.6762,2026-04-15 13:41:29
周口,风速,0.5345,2026-04-15 13:41:29
周口,AQI_lag_1,0.4814,2026-04-15 13:41:29
周口,AQI_roll_mean_3,0.4668,2026-04-15 13:41:29
周口,小时,0.3796,2026-04-15 13:41:29
周口,AQI_lag_2,0.336,2026-04-15 13:41:29
周口,降水量,0.0277,2026-04-15 13:41:29
呼伦贝尔,湿度,0.6456,2026-04-15 13:41:29
呼伦贝尔,温度,0.6369,2026-04-15 13:41:29
呼伦贝尔,风速,0.5212,2026-04-15 13:41:29
呼伦贝尔,AQI_roll_mean_3,0.4462,2026-04-15 13:41:29
呼伦贝尔,小时,0.4143,2026-04-15 13:41:29
呼伦贝尔,降水量,0.4141,2026-04-15 13:41:29
呼伦贝尔,AQI_lag_1,0.3687,2026-04-15 13:41:29
呼伦贝尔,AQI_lag_2,0.348,2026-04-15 13:41:29
呼和浩特,湿度,0.7108,2026-04-15 13:41:29
呼和浩特,温度,0.6955,2026-04-15 13:41:29
呼和浩特,风速,0.5792,2026-04-15 13:41:29
呼和浩特,AQI_roll_mean_3,0.4777,2026-04-15 13:41:29
呼和浩特,AQI_lag_1,0.4436,2026-04-15 13:41:29
呼和浩特,小时,0.4344,2026-04-15 13:41:29
呼和浩特,AQI_lag_2,0.3357,2026-04-15 13:41:29
呼和浩特,降水量,0.3239,2026-04-15 13:41:29
和田地区,湿度,0.691,2026-04-15 13:41:29
和田地区,温度,0.6811,2026-04-15 13:41:29
和田地区,风速,0.5745,2026-04-15 13:41:29
和田地区,AQI_roll_mean_3,0.4751,2026-04-15 13:41:29
和田地区,小时,0.4323,2026-04-15 13:41:29
和田地区,AQI_lag_2,0.4087,2026-04-15 13:41:29
和田地区,AQI_lag_1,0.3855,2026-04-15 13:41:29
和田地区,降水量,0.0894,2026-04-15 13:41:29
咸宁,湿度,0.6939,2026-04-15 13:41:29
咸宁,温度,0.6676,2026-04-15 13:41:29
咸宁,风速,0.5372,2026-04-15 13:41:29
咸宁,AQI_roll_mean_3,0.484,2026-04-15 13:41:29
咸宁,AQI_lag_1,0.4116,2026-04-15 13:41:29
咸宁,小时,0.3736,2026-04-15 13:41:29
咸宁,AQI_lag_2,0.3606,2026-04-15 13:41:29
咸宁,降水量,0.1037,2026-04-15 13:41:29
咸阳,湿度,0.683,2026-04-15 13:41:29
咸阳,温度,0.6532,2026-04-15 13:41:29
咸阳,风速,0.5707,2026-04-15 13:41:29
咸阳,小时,0.4617,2026-04-15 13:41:29
咸阳,AQI_roll_mean_3,0.4524,2026-04-15 13:41:29
咸阳,AQI_lag_1,0.3507,2026-04-15 13:41:29
咸阳,AQI_lag_2,0.3472,2026-04-15 13:41:29
咸阳,气压,0.0407,2026-04-15 13:41:29
哈密,湿度,0.7055,2026-04-15 13:41:29
哈密,温度,0.653,2026-04-15 13:41:29
哈密,风速,0.6366,2026-04-15 13:41:29
哈密,小时,0.4603,2026-04-15 13:41:29
哈密,AQI_roll_mean_3,0.4528,2026-04-15 13:41:29
哈密,AQI_lag_1,0.401,2026-04-15 13:41:29
哈密,降水量,0.3771,2026-04-15 13:41:29
哈密,AQI_lag_2,0.3452,2026-04-15 13:41:29
哈尔滨,湿度,0.6994,2026-04-15 13:41:29
哈尔滨,温度,0.6822,2026-04-15 13:41:29
哈尔滨,AQI_roll_mean_3,0.5047,2026-04-15 13:41:29
哈尔滨,风速,0.4639,2026-04-15 13:41:29
哈尔滨,AQI_lag_1,0.4602,2026-04-15 13:41:29
哈尔滨,小时,0.4531,2026-04-15 13:41:29
哈尔滨,降水量,0.4062,2026-04-15 13:41:29
哈尔滨,AQI_lag_2,0.3929,2026-04-15 13:41:29
唐山,湿度,0.5969,2026-04-15 13:41:29
唐山,温度,0.5939,2026-04-15 13:41:29
唐山,风速,0.5324,2026-04-15 13:41:29
唐山,AQI_roll_mean_3,0.372,2026-04-15 13:41:29
唐山,小时,0.3455,2026-04-15 13:41:29
唐山,AQI_lag_1,0.3454,2026-04-15 13:41:29
唐山,降水量,0.3013,2026-04-15 13:41:29
唐山,AQI_lag_2,0.278,2026-04-15 13:41:29
商丘,湿度,0.7195,2026-04-15 13:41:29
商丘,温度,0.7113,2026-04-15 13:41:29
商丘,风速,0.6134,2026-04-15 13:41:29
商丘,AQI_roll_mean_3,0.5149,2026-04-15 13:41:29
商丘,AQI_lag_1,0.4726,2026-04-15 13:41:29
商丘,AQI_lag_2,0.4573,2026-04-15 13:41:29
商丘,小时,0.4149,2026-04-15 13:41:29
商丘,气压,0.0795,2026-04-15 13:41:29
商洛,湿度,0.6648,2026-04-15 13:41:29
商洛,温度,0.6178,2026-04-15 13:41:29
商洛,风速,0.5652,2026-04-15 13:41:29
商洛,AQI_roll_mean_3,0.4267,2026-04-15 13:41:29
商洛,小时,0.3749,2026-04-15 13:41:29
商洛,AQI_lag_2,0.3522,2026-04-15 13:41:29
商洛,AQI_lag_1,0.3291,2026-04-15 13:41:29
商洛,气压,0.0711,2026-04-15 13:41:29
喀什地区,湿度,0.639,2026-04-15 13:41:29
喀什地区,温度,0.6162,2026-04-15 13:41:29
喀什地区,风速,0.5596,2026-04-15 13:41:29
喀什地区,AQI_roll_mean_3,0.436,2026-04-15 13:41:29
喀什地区,AQI_lag_1,0.397,2026-04-15 13:41:29
喀什地区,AQI_lag_2,0.3524,2026-04-15 13:41:29
喀什地区,小时,0.3487,2026-04-15 13:41:29
喀什地区,降水量,0.2806,2026-04-15 13:41:29
嘉兴,湿度,0.7047,2026-04-15 13:41:29
嘉兴,温度,0.6899,2026-04-15 13:41:29
嘉兴,风速,0.5608,2026-04-15 13:41:29
嘉兴,AQI_roll_mean_3,0.5053,2026-04-15 13:41:29
嘉兴,小时,0.487,2026-04-15 13:41:29
嘉兴,AQI_lag_1,0.4844,2026-04-15 13:41:29
嘉兴,AQI_lag_2,0.4066,2026-04-15 13:41:29
嘉兴,降水量,0.076,2026-04-15 13:41:29
嘉峪关,湿度,0.6998,2026-04-15 13:41:29
嘉峪关,温度,0.6876,2026-04-15 13:41:29
嘉峪关,风速,0.5743,2026-04-15 13:41:29
嘉峪关,AQI_roll_mean_3,0.4919,2026-04-15 13:41:29
嘉峪关,AQI_lag_1,0.4299,2026-04-15 13:41:29
嘉峪关,小时,0.4084,2026-04-15 13:41:29
嘉峪关,AQI_lag_2,0.3928,2026-04-15 13:41:29
嘉峪关,降水量,0.2014,2026-04-15 13:41:29
四平,温度,0.623,2026-04-15 13:41:29
四平,湿度,0.6228,2026-04-15 13:41:29
四平,风速,0.5572,2026-04-15 13:41:29
四平,AQI_roll_mean_3,0.4455,2026-04-15 13:41:29
四平,小时,0.4389,2026-04-15 13:41:29
四平,AQI_lag_1,0.3685,2026-04-15 13:41:29
四平,降水量,0.3462,2026-04-15 13:41:29
四平,AQI_lag_2,0.3387,2026-04-15 13:41:29
固原,湿度,0.6371,2026-04-15 13:41:29
固原,温度,0.5938,2026-04-15 13:41:29
固原,风速,0.5578,2026-04-15 13:41:29
固原,AQI_roll_mean_3,0.4308,2026-04-15 13:41:29
固原,AQI_lag_1,0.3805,2026-04-15 13:41:29
固原,小时,0.3594,2026-04-15 13:41:29
固原,AQI_lag_2,0.3179,2026-04-15 13:41:29
固原,降水量,0.0889,2026-04-15 13:41:29
塔城地区,湿度,0.6847,2026-04-15 13:41:29
塔城地区,温度,0.6709,2026-04-15 13:41:29
塔城地区,风速,0.5492,2026-04-15 13:41:29
塔城地区,AQI_roll_mean_3,0.4813,2026-04-15 13:41:29
塔城地区,AQI_lag_1,0.4799,2026-04-15 13:41:29
塔城地区,小时,0.4647,2026-04-15 13:41:29
塔城地区,降水量,0.4127,2026-04-15 13:41:29
塔城地区,AQI_lag_2,0.3585,2026-04-15 13:41:29
大兴安岭地区,湿度,0.6833,2026-04-15 13:41:29
大兴安岭地区,温度,0.6559,2026-04-15 13:41:29
大兴安岭地区,风速,0.5907,2026-04-15 13:41:29
大兴安岭地区,AQI_roll_mean_3,0.4517,2026-04-15 13:41:29
大兴安岭地区,AQI_lag_1,0.4107,2026-04-15 13:41:29
大兴安岭地区,小时,0.4003,2026-04-15 13:41:29
大兴安岭地区,AQI_lag_2,0.3993,2026-04-15 13:41:29
大兴安岭地区,降水量,0.3528,2026-04-15 13:41:29
大同,湿度,0.6114,2026-04-15 13:41:29
大同,温度,0.5883,2026-04-15 13:41:29
大同,风速,0.5792,2026-04-15 13:41:29
大同,AQI_roll_mean_3,0.3584,2026-04-15 13:41:29
大同,小时,0.3528,2026-04-15 13:41:29
大同,AQI_lag_1,0.3361,2026-04-15 13:41:29
大同,AQI_lag_2,0.2435,2026-04-15 13:41:29
大同,降水量,0.2149,2026-04-15 13:41:29
大庆,湿度,0.6829,2026-04-15 13:41:29
大庆,温度,0.6562,2026-04-15 13:41:29
大庆,风速,0.5526,2026-04-15 13:41:29
大庆,AQI_roll_mean_3,0.4729,2026-04-15 13:41:29
大庆,降水量,0.4104,2026-04-15 13:41:29
大庆,AQI_lag_2,0.3962,2026-04-15 13:41:29
大庆,小时,0.3862,2026-04-15 13:41:29
大庆,AQI_lag_1,0.3819,2026-04-15 13:41:29
大理白族自治州,湿度,0.6675,2026-04-15 13:41:29
大理白族自治州,温度,0.6608,2026-04-15 13:41:29
大理白族自治州,风速,0.5163,2026-04-15 13:41:29
大理白族自治州,AQI_roll_mean_3,0.4402,2026-04-15 13:41:29
大理白族自治州,AQI_lag_2,0.4054,2026-04-15 13:41:29
大理白族自治州,小时,0.3812,2026-04-15 13:41:29
大理白族自治州,AQI_lag_1,0.3724,2026-04-15 13:41:29
大理白族自治州,气压,0.0404,2026-04-15 13:41:29
大连,湿度,0.6827,2026-04-15 13:41:29
大连,温度,0.6591,2026-04-15 13:41:29
大连,风速,0.5659,2026-04-15 13:41:29
大连,AQI_lag_1,0.4453,2026-04-15 13:41:29
大连,AQI_roll_mean_3,0.4367,2026-04-15 13:41:29
大连,小时,0.4286,2026-04-15 13:41:29
大连,AQI_lag_2,0.3255,2026-04-15 13:41:29
大连,降水量,0.196,2026-04-15 13:41:29
天水,湿度,0.6947,2026-04-15 13:41:29
天水,温度,0.6723,2026-04-15 13:41:29
天水,风速,0.6079,2026-04-15 13:41:29
天水,AQI_roll_mean_3,0.4922,2026-04-15 13:41:29
天水,AQI_lag_1,0.4753,2026-04-15 13:41:29
天水,小时,0.4482,2026-04-15 13:41:29
天水,AQI_lag_2,0.3869,2026-04-15 13:41:29
天水,降水量,0.1487,2026-04-15 13:41:29
天津,湿度,0.672,2026-04-15 13:41:29
天津,温度,0.6652,2026-04-15 13:41:29
天津,风速,0.5133,2026-04-15 13:41:29
天津,AQI_roll_mean_3,0.4559,2026-04-15 13:41:29
天津,AQI_lag_1,0.4194,2026-04-15 13:41:29
天津,小时,0.3932,2026-04-15 13:41:29
天津,AQI_lag_2,0.3345,2026-04-15 13:41:29
天津,降水量,0.3163,2026-04-15 13:41:29
太原,湿度,0.6618,2026-04-15 13:41:29
太原,温度,0.6597,2026-04-15 13:41:29
太原,风速,0.4912,2026-04-15 13:41:29
太原,AQI_roll_mean_3,0.4847,2026-04-15 13:41:29
太原,小时,0.4552,2026-04-15 13:41:29
太原,AQI_lag_1,0.4221,2026-04-15 13:41:29
太原,AQI_lag_2,0.3338,2026-04-15 13:41:29
太原,降水量,0.2589,2026-04-15 13:41:29
威海,湿度,0.6902,2026-04-15 13:41:29
威海,温度,0.6814,2026-04-15 13:41:29
威海,风速,0.5114,2026-04-15 13:41:29
威海,AQI_roll_mean_3,0.4723,2026-04-15 13:41:29
威海,小时,0.4386,2026-04-15 13:41:29
威海,AQI_lag_2,0.3745,2026-04-15 13:41:29
威海,AQI_lag_1,0.3701,2026-04-15 13:41:29
威海,降水量,0.1236,2026-04-15 13:41:29
娄底,湿度,0.7112,2026-04-15 13:41:29
娄底,温度,0.6884,2026-04-15 13:41:29
娄底,风速,0.5673,2026-04-15 13:41:29
娄底,AQI_roll_mean_3,0.5055,2026-04-15 13:41:29
娄底,AQI_lag_1,0.4685,2026-04-15 13:41:29
娄底,AQI_lag_2,0.398,2026-04-15 13:41:29
娄底,小时,0.3971,2026-04-15 13:41:29
娄底,工作日,0.0771,2026-04-15 13:41:29
孝感,湿度,0.6033,2026-04-15 13:41:29
孝感,风速,0.587,2026-04-15 13:41:29
孝感,温度,0.5729,2026-04-15 13:41:29
孝感,小时,0.3981,2026-04-15 13:41:29
孝感,AQI_lag_1,0.3661,2026-04-15 13:41:29
孝感,AQI_roll_mean_3,0.3597,2026-04-15 13:41:29
孝感,AQI_lag_2,0.2892,2026-04-15 13:41:29
孝感,降水量,0.1001,2026-04-15 13:41:29
宁德,湿度,0.7101,2026-04-15 13:41:29
宁德,温度,0.6675,2026-04-15 13:41:29
宁德,风速,0.5976,2026-04-15 13:41:29
宁德,AQI_roll_mean_3,0.4943,2026-04-15 13:41:29
宁德,AQI_lag_1,0.4898,2026-04-15 13:41:29
宁德,AQI_lag_2,0.403,2026-04-15 13:41:29
宁德,小时,0.3968,2026-04-15 13:41:29
宁德,工作日,0.0663,2026-04-15 13:41:29
宁波,湿度,0.6978,2026-04-15 13:41:29
宁波,温度,0.6942,2026-04-15 13:41:29
宁波,AQI_roll_mean_3,0.512,2026-04-15 13:41:29
宁波,风速,0.4999,2026-04-15 13:41:29
宁波,AQI_lag_1,0.4642,2026-04-15 13:41:29
宁波,小时,0.4377,2026-04-15 13:41:29
宁波,AQI_lag_2,0.4075,2026-04-15 13:41:29
宁波,气压,0.0958,2026-04-15 13:41:29
安庆,湿度,0.6888,2026-04-15 13:41:29
安庆,温度,0.6473,2026-04-15 13:41:29
安庆,风速,0.5568,2026-04-15 13:41:29
安庆,AQI_roll_mean_3,0.4474,2026-04-15 13:41:29
安庆,AQI_lag_1,0.404,2026-04-15 13:41:29
安庆,小时,0.4002,2026-04-15 13:41:29
安庆,AQI_lag_2,0.3244,2026-04-15 13:41:29
安庆,工作日,0.0318,2026-04-15 13:41:29
安康,湿度,0.7218,2026-04-15 13:41:29
安康,温度,0.6874,2026-04-15 13:41:29
安康,AQI_roll_mean_3,0.4945,2026-04-15 13:41:29
安康,风速,0.4734,2026-04-15 13:41:29
安康,小时,0.4614,2026-04-15 13:41:29
安康,AQI_lag_1,0.429,2026-04-15 13:41:29
安康,AQI_lag_2,0.4047,2026-04-15 13:41:29
安康,气压,0.1097,2026-04-15 13:41:29
安阳,湿度,0.7151,2026-04-15 13:41:29
安阳,温度,0.7069,2026-04-15 13:41:29
安阳,风速,0.5732,2026-04-15 13:41:29
安阳,AQI_roll_mean_3,0.4923,2026-04-15 13:41:29
安阳,小时,0.4812,2026-04-15 13:41:29
安阳,AQI_lag_1,0.4426,2026-04-15 13:41:29
安阳,AQI_lag_2,0.4198,2026-04-15 13:41:29
安阳,气压,0.0148,2026-04-15 13:41:29
安顺,湿度,0.6441,2026-04-15 13:41:29
安顺,温度,0.6084,2026-04-15 13:41:29
安顺,风速,0.5834,2026-04-15 13:41:29
安顺,AQI_roll_mean_3,0.4699,2026-04-15 13:41:29
安顺,AQI_lag_1,0.4037,2026-04-15 13:41:29
安顺,小时,0.394,2026-04-15 13:41:29
安顺,AQI_lag_2,0.3508,2026-04-15 13:41:29
安顺,气压,0.0192,2026-04-15 13:41:29
定西,湿度,0.627,2026-04-15 13:41:29
定西,温度,0.6102,2026-04-15 13:41:29
定西,风速,0.5572,2026-04-15 13:41:29
定西,小时,0.4234,2026-04-15 13:41:29
定西,AQI_roll_mean_3,0.394,2026-04-15 13:41:29
定西,AQI_lag_1,0.3055,2026-04-15 13:41:29
定西,AQI_lag_2,0.2798,2026-04-15 13:41:29
定西,气压,0.0656,2026-04-15 13:41:29
宜宾,湿度,0.6785,2026-04-15 13:41:29
宜宾,温度,0.6325,2026-04-15 13:41:29
宜宾,风速,0.5051,2026-04-15 13:41:29
宜宾,AQI_roll_mean_3,0.4395,2026-04-15 13:41:29
宜宾,AQI_lag_1,0.3872,2026-04-15 13:41:29
宜宾,小时,0.3814,2026-04-15 13:41:29
宜宾,AQI_lag_2,0.3194,2026-04-15 13:41:29
宜宾,降水量,0.0669,2026-04-15 13:41:29
宜昌,湿度,0.7008,2026-04-15 13:41:29
宜昌,温度,0.6601,2026-04-15 13:41:29
宜昌,风速,0.6093,2026-04-15 13:41:29
宜昌,AQI_roll_mean_3,0.4814,2026-04-15 13:41:29
宜昌,AQI_lag_1,0.4794,2026-04-15 13:41:29
宜昌,小时,0.4312,2026-04-15 13:41:29
宜昌,AQI_lag_2,0.4072,2026-04-15 13:41:29
宜昌,降水量,0.0498,2026-04-15 13:41:29
宜春,湿度,0.6598,2026-04-15 13:41:29
宜春,温度,0.6394,2026-04-15 13:41:29
宜春,风速,0.543,2026-04-15 13:41:29
宜春,AQI_roll_mean_3,0.462,2026-04-15 13:41:29
宜春,AQI_lag_1,0.4268,2026-04-15 13:41:29
宜春,小时,0.4261,2026-04-15 13:41:29
宜春,AQI_lag_2,0.3585,2026-04-15 13:41:29
宜春,工作日,0.091,2026-04-15 13:41:29
宝鸡,湿度,0.6518,2026-04-15 13:41:29
宝鸡,温度,0.6318,2026-04-15 13:41:29
宝鸡,风速,0.5305,2026-04-15 13:41:29
宝鸡,AQI_roll_mean_3,0.4688,2026-04-15 13:41:29
宝鸡,AQI_lag_1,0.4065,2026-04-15 13:41:29
宝鸡,小时,0.3652,2026-04-15 13:41:29
宝鸡,AQI_lag_2,0.3459,2026-04-15 13:41:29
宝鸡,降水量,0.1148,2026-04-15 13:41:29
宣城,湿度,0.661,2026-04-15 13:41:29
宣城,温度,0.6449,2026-04-15 13:41:29
宣城,风速,0.5496,2026-04-15 13:41:29
宣城,AQI_roll_mean_3,0.4523,2026-04-15 13:41:29
宣城,AQI_lag_1,0.4426,2026-04-15 13:41:29
宣城,AQI_lag_2,0.3543,2026-04-15 13:41:29
宣城,小时,0.3419,2026-04-15 13:41:29
宣城,气压,0.126,2026-04-15 13:41:29
宿州,湿度,0.7179,2026-04-15 13:41:29
宿州,温度,0.6864,2026-04-15 13:41:29
宿州,风速,0.5402,2026-04-15 13:41:29
宿州,小时,0.5087,2026-04-15 13:41:29
宿州,AQI_roll_mean_3,0.4982,2026-04-15 13:41:29
宿州,AQI_lag_1,0.459,2026-04-15 13:41:29
宿州,AQI_lag_2,0.3722,2026-04-15 13:41:29
宿州,降水量,0.1548,2026-04-15 13:41:29
宿迁,湿度,0.7331,2026-04-15 13:41:29
宿迁,温度,0.6872,2026-04-15 13:41:29
宿迁,风速,0.5471,2026-04-15 13:41:29
宿迁,AQI_roll_mean_3,0.5203,2026-04-15 13:41:29
宿迁,AQI_lag_1,0.5025,2026-04-15 13:41:29
宿迁,小时,0.4078,2026-04-15 13:41:29
宿迁,AQI_lag_2,0.4002,2026-04-15 13:41:29
宿迁,降水量,0.0922,2026-04-15 13:41:29
山南,湿度,0.6714,2026-04-15 13:41:29
山南,温度,0.6519,2026-04-15 13:41:29
山南,风速,0.551,2026-04-15 13:41:29
山南,小时,0.4609,2026-04-15 13:41:29
山南,AQI_roll_mean_3,0.4495,2026-04-15 13:41:29
山南,AQI_lag_1,0.4332,2026-04-15 13:41:29
山南,AQI_lag_2,0.3477,2026-04-15 13:41:29
山南,气压,0.0509,2026-04-15 13:41:29
岳阳,湿度,0.7347,2026-04-15 13:41:29
岳阳,温度,0.7247,2026-04-15 13:41:29
岳阳,AQI_roll_mean_3,0.5556,2026-04-15 13:41:29
岳阳,风速,0.5101,2026-04-15 13:41:29
岳阳,小时,0.4839,2026-04-15 13:41:29
岳阳,AQI_lag_1,0.4752,2026-04-15 13:41:29
岳阳,AQI_lag_2,0.4524,2026-04-15 13:41:29
岳阳,气压,0.0562,2026-04-15 13:41:29
崇左,湿度,0.6364,2026-04-15 13:41:29
崇左,温度,0.6184,2026-04-15 13:41:29
崇左,风速,0.5897,2026-04-15 13:41:29
崇左,AQI_roll_mean_3,0.4206,2026-04-15 13:41:29
崇左,AQI_lag_1,0.3694,2026-04-15 13:41:29
崇左,小时,0.3599,2026-04-15 13:41:29
崇左,AQI_lag_2,0.2907,2026-04-15 13:41:29
崇左,气压,0.0588,2026-04-15 13:41:29
巴中,湿度,0.6746,2026-04-15 13:41:29
巴中,温度,0.6569,2026-04-15 13:41:29
巴中,风速,0.5801,2026-04-15 13:41:29
巴中,AQI_roll_mean_3,0.4826,2026-04-15 13:41:29
巴中,AQI_lag_1,0.4142,2026-04-15 13:41:29
巴中,AQI_lag_2,0.4001,2026-04-15 13:41:29
巴中,小时,0.3905,2026-04-15 13:41:29
巴中,气压,0.096,2026-04-15 13:41:29
巴彦淖尔,湿度,0.6724,2026-04-15 13:41:29
巴彦淖尔,温度,0.6372,2026-04-15 13:41:29
巴彦淖尔,风速,0.5183,2026-04-15 13:41:29
巴彦淖尔,AQI_roll_mean_3,0.4513,2026-04-15 13:41:29
巴彦淖尔,小时,0.4447,2026-04-15 13:41:29
巴彦淖尔,AQI_lag_2,0.3897,2026-04-15 13:41:29
巴彦淖尔,AQI_lag_1,0.3211,2026-04-15 13:41:29
巴彦淖尔,降水量,0.2819,2026-04-15 13:41:29
巴音郭楞蒙古自治州,湿度,0.7102,2026-04-15 13:41:29
巴音郭楞蒙古自治州,温度,0.6833,2026-04-15 13:41:29
巴音郭楞蒙古自治州,风速,0.5875,2026-04-15 13:41:29
巴音郭楞蒙古自治州,AQI_roll_mean_3,0.5134,2026-04-15 13:41:29
巴音郭楞蒙古自治州,AQI_lag_1,0.4848,2026-04-15 13:41:29
巴音郭楞蒙古自治州,小时,0.4677,2026-04-15 13:41:29
巴音郭楞蒙古自治州,降水量,0.3781,2026-04-15 13:41:29
巴音郭楞蒙古自治州,AQI_lag_2,0.3594,2026-04-15 13:41:29
常州,湿度,0.7121,2026-04-15 13:41:29
常州,温度,0.6849,2026-04-15 13:41:29
常州,风速,0.5084,2026-04-15 13:41:29
常州,AQI_roll_mean_3,0.4825,2026-04-15 13:41:29
常州,AQI_lag_1,0.4385,2026-04-15 13:41:29
常州,小时,0.4312,2026-04-15 13:41:29
常州,AQI_lag_2,0.4137,2026-04-15 13:41:29
常州,降水量,0.0652,2026-04-15 13:41:29
常德,湿度,0.7168,2026-04-15 13:41:29
常德,温度,0.7105,2026-04-15 13:41:29
常德,风速,0.6026,2026-04-15 13:41:29
常德,AQI_roll_mean_3,0.538,2026-04-15 13:41:29
常德,AQI_lag_1,0.4982,2026-04-15 13:41:29
常德,小时,0.4614,2026-04-15 13:41:29
常德,AQI_lag_2,0.458,2026-04-15 13:41:29
常德,降水量,0.0769,2026-04-15 13:41:29
平凉,湿度,0.6654,2026-04-15 13:41:29
平凉,温度,0.6353,2026-04-15 13:41:29
平凉,风速,0.5682,2026-04-15 13:41:29
平凉,小时,0.4401,2026-04-15 13:41:29
平凉,AQI_roll_mean_3,0.4165,2026-04-15 13:41:29
平凉,AQI_lag_1,0.3817,2026-04-15 13:41:29
平凉,AQI_lag_2,0.342,2026-04-15 13:41:29
平凉,工作日,0.0657,2026-04-15 13:41:29
平顶山,湿度,0.7136,2026-04-15 13:41:29
平顶山,温度,0.6836,2026-04-15 13:41:29
平顶山,风速,0.5689,2026-04-15 13:41:29
平顶山,AQI_lag_1,0.525,2026-04-15 13:41:29
平顶山,AQI_roll_mean_3,0.5129,2026-04-15 13:41:29
平顶山,小时,0.5026,2026-04-15 13:41:29
平顶山,AQI_lag_2,0.386,2026-04-15 13:41:29
平顶山,降水量,0.0942,2026-04-15 13:41:29
广元,湿度,0.6752,2026-04-15 13:41:29
广元,温度,0.6582,2026-04-15 13:41:29
广元,风速,0.5437,2026-04-15 13:41:29
广元,AQI_roll_mean_3,0.4531,2026-04-15 13:41:29
广元,AQI_lag_2,0.4189,2026-04-15 13:41:29
广元,小时,0.4039,2026-04-15 13:41:29
广元,AQI_lag_1,0.3654,2026-04-15 13:41:29
广元,降水量,0.0547,2026-04-15 13:41:29
广安,湿度,0.6654,2026-04-15 13:41:29
广安,温度,0.6408,2026-04-15 13:41:29
广安,风速,0.5189,2026-04-15 13:41:29
广安,AQI_roll_mean_3,0.4728,2026-04-15 13:41:29
广安,AQI_lag_1,0.4126,2026-04-15 13:41:29
广安,小时,0.3533,2026-04-15 13:41:29
广安,AQI_lag_2,0.3399,2026-04-15 13:41:29
广安,降水量,0.0506,2026-04-15 13:41:29
广州,湿度,0.6247,2026-04-15 13:41:29
广州,温度,0.6087,2026-04-15 13:41:29
广州,风速,0.5447,2026-04-15 13:41:29
广州,小时,0.3992,2026-04-15 13:41:29
广州,AQI_roll_mean_3,0.3957,2026-04-15 13:41:29
广州,AQI_lag_1,0.3454,2026-04-15 13:41:29
广州,AQI_lag_2,0.2368,2026-04-15 13:41:29
广州,气压,0.094,2026-04-15 13:41:29
庆阳,湿度,0.7221,2026-04-15 13:41:29
庆阳,温度,0.7087,2026-04-15 13:41:29
庆阳,风速,0.5795,2026-04-15 13:41:29
庆阳,AQI_roll_mean_3,0.5154,2026-04-15 13:41:29
庆阳,AQI_lag_1,0.4805,2026-04-15 13:41:29
庆阳,小时,0.4186,2026-04-15 13:41:29
庆阳,AQI_lag_2,0.4125,2026-04-15 13:41:29
庆阳,降水量,0.0744,2026-04-15 13:41:29
廊坊,湿度,0.6815,2026-04-15 13:41:29
廊坊,温度,0.6434,2026-04-15 13:41:29
廊坊,风速,0.5011,2026-04-15 13:41:29
廊坊,AQI_roll_mean_3,0.4595,2026-04-15 13:41:29
廊坊,AQI_lag_1,0.41,2026-04-15 13:41:29
廊坊,降水量,0.3796,2026-04-15 13:41:29
廊坊,AQI_lag_2,0.3418,2026-04-15 13:41:29
廊坊,小时,0.3179,2026-04-15 13:41:29
延安,湿度,0.6975,2026-04-15 13:41:29
延安,温度,0.6932,2026-04-15 13:41:29
延安,风速,0.5696,2026-04-15 13:41:29
延安,AQI_lag_1,0.4761,2026-04-15 13:41:29
延安,小时,0.4752,2026-04-15 13:41:29
延安,AQI_roll_mean_3,0.4721,2026-04-15 13:41:29
延安,AQI_lag_2,0.3284,2026-04-15 13:41:29
延安,降水量,0.045,2026-04-15 13:41:29
延边朝鲜族自治州,湿度,0.7195,2026-04-15 13:41:29
延边朝鲜族自治州,温度,0.7048,2026-04-15 13:41:29
延边朝鲜族自治州,风速,0.5611,2026-04-15 13:41:29
延边朝鲜族自治州,AQI_roll_mean_3,0.5314,2026-04-15 13:41:29
延边朝鲜族自治州,AQI_lag_1,0.4822,2026-04-15 13:41:29
延边朝鲜族自治州,AQI_lag_2,0.476,2026-04-15 13:41:29
延边朝鲜族自治州,小时,0.4426,2026-04-15 13:41:29
延边朝鲜族自治州,降水量,0.4049,2026-04-15 13:41:29
开封,湿度,0.6578,2026-04-15 13:41:29
开封,温度,0.6246,2026-04-15 13:41:29
开封,风速,0.5657,2026-04-15 13:41:29
开封,AQI_roll_mean_3,0.465,2026-04-15 13:41:29
开封,小时,0.4254,2026-04-15 13:41:29
开封,AQI_lag_1,0.4195,2026-04-15 13:41:29
开封,AQI_lag_2,0.3655,2026-04-15 13:41:29
