城市,riskScore,riskLevel,maxAQI24h,meanAQI24h,exceedHours,severeHours
金华,20.8,较低风险,61.1,61.0,0,0
恩施土家族苗族自治州,20.8,较低风险,61.3,61.3,0,0
乐山,20.8,较低风险,61.1,61.0,0,0
拉萨,20.8,较低风险,61.1,61.0,0,0
景德镇,20.8,较低风险,61.2,61.0,0,0
荆州,20.8,较低风险,61.3,61.3,0,0
鄂州,20.8,较低风险,61.3,61.3,0,0
德阳,20.8,较低风险,61.2,61.1,0,0
内江,20.7,较低风险,60.9,60.8,0,0
九江,20.7,较低风险,60.9,60.8,0,0
日喀则,20.7,较低风险,60.9,60.8,0,0
重庆,20.7,较低风险,60.9,60.8,0,0
林芝,20.7,较低风险,60.8,60.7,0,0
赣州,20.6,较低风险,60.7,60.6,0,0
杭州,20.6,较低风险,60.5,60.4,0,0
眉山,20.6,较低风险,60.5,60.4,0,0
广安,20.6,较低风险,60.6,60.5,0,0
安庆,20.6,较低风险,60.6,60.5,0,0
舟山,20.6,较低风险,60.5,60.4,0,0
自贡,20.6,较低风险,60.7,60.6,0,0
岳阳,20.6,较低风险,60.7,60.6,0,0
张家界,20.6,较低风险,60.7,60.6,0,0
荆门,20.5,较低风险,60.3,60.2,0,0
遂宁,20.5,较低风险,60.3,60.2,0,0
雅安,20.5,较低风险,60.3,60.2,0,0
宜昌,20.5,较低风险,60.3,60.2,0,0
南充,20.5,较低风险,60.3,60.2,0,0
黄山,20.5,较低风险,60.3,60.2,0,0
成都,20.5,较低风险,60.3,60.2,0,0
无锡,20.5,较低风险,60.3,60.2,0,0
黄冈,20.5,较低风险,60.3,60.2,0,0
湖州,20.5,较低风险,60.3,60.2,0,0
嘉兴,20.5,较低风险,60.4,60.4,0,0
宣城,20.4,较低风险,60.1,60.1,0,0
宁波,20.4,较低风险,60.0,60.0,0,0
随州,20.4,较低风险,60.1,60.0,0,0
马鞍山,20.4,较低风险,60.1,60.0,0,0
孝感,20.4,较低风险,60.1,60.0,0,0
资阳,20.3,较低风险,59.6,59.5,0,0
绍兴,20.3,较低风险,59.6,59.5,0,0
六安,20.2,较低风险,59.4,59.3,0,0
绵阳,20.2,较低风险,59.4,59.3,0,0
常州,20.2,较低风险,59.4,59.3,0,0
铜陵,20.2,较低风险,59.4,59.3,0,0
镇江,20.2,较低风险,59.4,59.3,0,0
淮南,20.2,较低风险,59.4,59.3,0,0
池州,20.2,较低风险,59.4,59.3,0,0
信阳,20.1,较低风险,59.2,59.2,0,0
上海,20.1,较低风险,59.1,59.0,0,0
达州,20.1,较低风险,59.1,59.0,0,0
襄阳,20.1,较低风险,59.2,59.2,0,0
芜湖,20.1,较低风险,59.1,59.0,0,0
苏州,20.1,较低风险,59.2,59.1,0,0
那曲市,20.1,较低风险,59.1,59.0,0,0
泰州,20.1,较低风险,59.1,59.0,0,0
阿里地区,20.1,较低风险,59.2,59.2,0,0
安康,20.1,较低风险,59.2,59.2,0,0
滁州,20.1,较低风险,59.2,59.2,0,0
合肥,20.1,较低风险,59.2,59.1,0,0
南通,20.1,较低风险,59.2,59.1,0,0
南京,20.1,较低风险,59.2,59.1,0,0
南阳,20.0,较低风险,58.9,58.8,0,0
蚌埠,20.0,低风险,58.7,58.7,0,0
西安,20.0,较低风险,58.9,58.8,0,0
阿坝藏族羌族自治州,20.0,低风险,58.7,58.7,0,0
十堰,20.0,较低风险,58.9,58.8,0,0
汉中,19.9,低风险,58.6,58.5,0,0
玉树藏族自治州,19.9,低风险,58.6,58.5,0,0
阜阳,19.9,低风险,58.6,58.5,0,0
淮北,19.8,低风险,58.2,58.2,0,0
果洛藏族自治州,19.8,低风险,58.3,58.2,0,0
巴中,19.8,低风险,58.4,58.3,0,0
甘孜藏族自治州,19.8,低风险,58.3,58.3,0,0
宿州,19.8,低风险,58.2,58.2,0,0
咸阳,19.8,低风险,58.3,58.2,0,0
许昌,19.8,低风险,58.3,58.2,0,0
宿迁,19.8,低风险,58.2,58.2,0,0
淮安,19.8,低风险,58.2,58.2,0,0
渭南,19.8,低风险,58.3,58.2,0,0
三门峡,19.7,低风险,57.9,57.8,0,0
铜川,19.7,低风险,57.9,57.9,0,0
开封,19.7,低风险,57.9,57.9,0,0
焦作,19.7,低风险,57.9,57.9,0,0
甘南藏族自治州,19.7,低风险,57.9,57.9,0,0
洛阳,19.7,低风险,57.9,57.8,0,0
广元,19.6,低风险,57.6,57.5,0,0
陇南,19.5,低风险,57.3,57.2,0,0
天水,19.5,低风险,57.4,57.3,0,0
漯河,19.5,低风险,57.3,57.2,0,0
运城,19.4,低风险,57.1,57.1,0,0
宝鸡,19.4,低风险,57.2,57.1,0,0
亳州,19.4,低风险,57.2,57.1,0,0
鹤壁,19.4,低风险,57.2,57.1,0,0
平顶山,19.4,低风险,57.2,57.1,0,0
濮阳,19.4,低风险,57.2,57.1,0,0
周口,19.4,低风险,57.2,57.1,0,0
晋城,19.4,低风险,57.1,57.1,0,0
扬州,19.4,低风险,57.1,57.0,0,0
新乡,19.4,低风险,57.1,57.1,0,0
连云港,19.4,低风险,57.1,57.1,0,0
商洛,19.4,低风险,57.2,57.1,0,0
临夏回族自治州,19.4,低风险,57.2,57.1,0,0
驻马店,19.4,低风险,57.2,57.1,0,0
郑州,19.4,低风险,57.1,57.1,0,0
商丘,19.4,低风险,57.2,57.1,0,0
徐州,19.4,低风险,57.2,57.1,0,0
枣庄,19.4,低风险,57.1,57.1,0,0
长治,19.3,低风险,56.7,56.6,0,0
临汾,19.3,低风险,56.7,56.6,0,0
海南藏族自治州,19.3,低风险,56.7,56.6,0,0
延安,19.3,低风险,56.7,56.6,0,0
临沂,19.2,低风险,56.4,56.3,0,0
日照,19.2,低风险,56.4,56.3,0,0
青岛,19.2,低风险,56.4,56.3,0,0
盐城,19.2,低风险,56.4,56.4,0,0
庆阳,19.1,低风险,56.3,56.2,0,0
白银,19.1,低风险,56.1,56.0,0,0
济宁,19.1,低风险,56.2,56.2,0,0
聊城,19.1,低风险,56.1,56.0,0,0
安阳,19.1,低风险,56.2,56.2,0,0
固原,19.1,低风险,56.2,56.2,0,0
济南,19.1,低风险,56.1,56.0,0,0
淄博,19.1,低风险,56.1,56.0,0,0
中卫,19.1,低风险,56.1,56.0,0,0
太原,19.0,低风险,55.9,55.8,0,0
西宁,19.0,低风险,55.9,55.8,0,0
兰州,19.0,低风险,55.9,55.8,0,0
烟台,19.0,低风险,55.9,55.9,0,0
晋中,19.0,低风险,55.9,55.8,0,0
威海,19.0,低风险,55.9,55.9,0,0
黄南藏族自治州,18.9,低风险,55.5,55.4,0,0
泰安,18.9,低风险,55.7,55.7,0,0
海东,18.9,低风险,55.7,55.7,0,0
潍坊,18.9,低风险,55.5,55.4,0,0
平凉,18.9,低风险,55.5,55.4,0,0
邯郸,18.8,低风险,55.3,55.2,0,0
东营,18.8,低风险,55.3,55.2,0,0
阳泉,18.8,低风险,55.2,55.1,0,0
海西蒙古族藏族自治州,18.8,低风险,55.3,55.2,0,0
邢台,18.8,低风险,55.3,55.2,0,0
德州,18.7,低风险,55.0,54.9,0,0
滨州,18.7,低风险,55.0,54.9,0,0
海北藏族自治州,18.7,低风险,55.1,55.1,0,0
榆林,18.7,低风险,54.9,54.8,0,0
吕梁,18.7,低风险,55.0,54.9,0,0
衡水,18.7,低风险,55.1,55.0,0,0
武威,18.7,低风险,54.9,54.8,0,0
吴忠,18.7,低风险,54.9,54.8,0,0
忻州,18.7,低风险,54.9,54.8,0,0
定西,18.6,低风险,54.8,54.8,0,0
保定,18.5,低风险,54.5,54.3,0,0
大连,18.5,低风险,54.4,54.3,0,0
沧州,18.5,低风险,54.4,54.3,0,0
石嘴山,18.5,低风险,54.4,54.3,0,0
和田地区,18.5,低风险,54.3,54.2,0,0
