城市,日期,平均AQI,峰值AQI,污染等级,预警颜色,预警提示
临沂,2026-03-28,56.3,56.4,良,黄色,无预警
临沂,2026-03-29,56.3,56.4,良,黄色,无预警
临沂,2026-03-30,56.3,56.4,良,黄色,无预警
临沂,2026-03-31,56.3,56.4,良,黄色,无预警
临沧,2026-03-25,66.2,66.3,良,黄色,无预警
临沧,2026-03-26,66.2,66.3,良,黄色,无预警
临沧,2026-03-27,66.2,66.3,良,黄色,无预警
临沧,2026-03-28,66.2,66.3,良,黄色,无预警
临沧,2026-03-29,66.2,66.3,良,黄色,无预警
临沧,2026-03-30,66.2,66.3,良,黄色,无预警
临沧,2026-03-31,66.2,66.3,良,黄色,无预警
丹东,2026-03-25,53.0,53.3,良,黄色,无预警
丹东,2026-03-26,53.0,53.3,良,黄色,无预警
丹东,2026-03-27,53.0,53.3,良,黄色,无预警
丹东,2026-03-28,53.0,53.3,良,黄色,无预警
丹东,2026-03-29,53.0,53.3,良,黄色,无预警
丹东,2026-03-30,53.0,53.3,良,黄色,无预警
丹东,2026-03-31,53.0,53.3,良,黄色,无预警
丽水,2026-03-25,61.5,61.5,良,黄色,无预警
丽水,2026-03-26,61.5,61.5,良,黄色,无预警
丽水,2026-03-27,61.5,61.5,良,黄色,无预警
丽水,2026-03-28,61.5,61.5,良,黄色,无预警
丽水,2026-03-29,61.5,61.5,良,黄色,无预警
丽水,2026-03-30,61.5,61.5,良,黄色,无预警
丽水,2026-03-31,61.5,61.5,良,黄色,无预警
丽江,2026-03-25,61.7,61.8,良,黄色,无预警
丽江,2026-03-26,61.7,61.8,良,黄色,无预警
丽江,2026-03-27,61.7,61.8,良,黄色,无预警
丽江,2026-03-28,61.7,61.8,良,黄色,无预警
丽江,2026-03-29,61.7,61.8,良,黄色,无预警
丽江,2026-03-30,61.7,61.8,良,黄色,无预警
丽江,2026-03-31,61.7,61.8,良,黄色,无预警
乌兰察布,2026-03-25,52.7,52.8,良,黄色,无预警
乌兰察布,2026-03-26,52.7,52.8,良,黄色,无预警
乌兰察布,2026-03-27,52.7,52.8,良,黄色,无预警
乌兰察布,2026-03-28,52.7,52.8,良,黄色,无预警
乌兰察布,2026-03-29,52.7,52.8,良,黄色,无预警
乌兰察布,2026-03-30,52.7,52.8,良,黄色,无预警
乌兰察布,2026-03-31,52.7,52.8,良,黄色,无预警
乌海,2026-03-25,53.8,53.9,良,黄色,无预警
乌海,2026-03-26,53.8,53.9,良,黄色,无预警
乌海,2026-03-27,53.8,53.9,良,黄色,无预警
乌海,2026-03-28,53.8,53.9,良,黄色,无预警
乌海,2026-03-29,53.8,53.9,良,黄色,无预警
乌海,2026-03-30,53.8,53.9,良,黄色,无预警
乌海,2026-03-31,53.8,53.9,良,黄色,无预警
乌鲁木齐,2026-03-25,49.1,49.1,优,绿色,无预警
乌鲁木齐,2026-03-26,49.0,49.1,优,绿色,无预警
乌鲁木齐,2026-03-27,49.0,49.1,优,绿色,无预警
